Name,Position,Prediction
Ante Budimir,DEL,8
Luis Milla,MED,8
Javi Rodríguez,DEF,7
Vinicius Junior,DEL,7
Rodrigo De Paul,MED,7
Sergio Gómez,MED,7
Federico Valverde,MED,7
Giovani Lo Celso,MED,7
Vicente Guaita,POR,6
Paulo Gazzaniga,POR,6
Iván Martín,MED,6
Juanma Herzog,DEF,6
Jofre Carreras,MED,6
Jorge de Frutos,MED,6
José María Giménez,DEF,6
Lamine Yamal,DEL,6
Miguel Gutiérrez,DEF,6
Örjan Nyland,POR,6
Sergio Herrera,POR,6
Álex Berenguer,MED,6
Bryan Zaragoza,MED,6
Martín Zubimendi,MED,6
Sergi Canós,MED,6
Joan Garcia,POR,6
Abdul Mumin,DEF,6
Cyle Larin,DEL,5
Julián Álvarez,DEL,5
Alberto Moleiro,MED,5
Juan Berrocal,DEF,5
Jesús Areso,DEF,5
Pablo Ibáñez,MED,5
Abel Bretones,DEF,5
Mauro Arambarri,MED,5
Chrisantus Uche,MED,5
Marko Dmitrovic,POR,5
Ilaix Moriba,MED,5
Williot Swedberg,MED,5
Samú Costa,MED,5
Nicolas Pépé,DEL,5
Antoine Griezmann,DEL,5
Pau Cubarsí,DEF,5
Thierno Barry,DEL,5
Luis Rioja,MED,5
Diego Conde,POR,5
Nayef Aguerd,DEF,5
Luka Sucic,MED,5
Igor Zubeldia,DEF,5
Álex Remiro,POR,5
Pepelu,MED,5
Christian Mosquera,DEF,5
Iñaki Peña,POR,5
Pedri González,MED,5
Santi Comesaña,MED,5
Koke Resurrección,MED,5
Adnan Januzaj,MED,5
Karl Hein,POR,5
Thierry Correia,DEF,5
Carlos Martín,DEL,5
Sergi Altimira,MED,4
Alejandro Balde,DEF,4
Luka Modric,MED,4
Daniel Carvajal,DEF,4
Antonio Rüdiger,DEF,4
Ramón Terrats,MED,4
Giorgi Mamardashvili,POR,4
Eric Bailly,DEF,4
Jules Koundé,DEF,4
Robert Lewandowski,DEL,4
Héctor Fort,DEF,4
Abel Ruiz,DEL,4
Valery Fernández,DEF,4
Abdon Prats,DEL,4
Manuel Morlanes,MED,4
Javi Hernández,DEF,4
Isi Palazón,MED,4
Iago Aspas,DEL,4
Marc Casadó,MED,4
Pape Gueye,MED,4
Ilias Akhomach,DEL,4
Sergi Cardona,DEF,4
Ferland Mendy,DEF,4
César Tárrega,DEF,4
Hugo Duro,DEL,4
Íñigo Martínez,DEF,4
Mikel Oyarzabal,DEL,4
Ander Barrenetxea,MED,4
Ladislav Krejcí,DEF,4
David Soria,POR,4
Yangel Herrera,MED,4
Rubén García,MED,4
Boyomo,DEF,4
Lucien Agoume,MED,4
Dani Vivian,DEF,4
Dodi Lukebakio,DEL,4
Borja Mayoral,DEL,4
Bertug Yildirim,DEL,4
Carles Pérez,MED,4
Chidera Ejuke,MED,4
Álex Sola,DEF,4
José Manuel Copete,DEF,4
Andrei Ratiu,DEF,4
Irvin Cardona,DEL,4
Gerard Martín,DEF,4
Marash Kumbulla,DEF,4
Dinko Horkas,POR,4
Alex Kral,MED,4
Oliver McBurnie,DEL,4
Antonio Sivera,POR,4
Dário Essugo,MED,4
Rui Silva,POR,4
Takefusa Kubo,MED,4
Conor Gallagher,MED,4
Dani Parejo,MED,4
Jan Oblak,POR,4
Robin Le Normand,DEF,4
Ángel Correa,DEL,4
Jude Bellingham,MED,4
Ferrán Torres,DEL,4
Kiko Femenia,DEF,3
Asier Villalibre,DEL,3
Carlos Benavidez,MED,3
Valentin Rosier,DEF,3
Pablo Maffeo,DEF,3
Dani Rodríguez,MED,3
Adrià Altimira,DEF,3
Marcos Alonso,DEF,3
Éder Militão,DEF,3
Kike García,DEL,3
Ander Guevara,MED,3
Raphinha,DEL,3
Álex Baena,MED,3
Pau Víctor,DEL,3
Alexander Sorloth,DEL,3
Dakonam Djené,DEF,3
Omar Alderete,DEF,3
Álvaro Djaló,DEL,3
Iñaki Williams,DEL,3
Borja Iglesias,DEL,3
Diego Rico,DEF,3
Viktor Tsygankov,MED,3
Jesús Navas,DEF,3
Aimar Oroz,MED,3
Yaser Asprilla,MED,3
Sébastien Haller,DEL,3
Roberto López,MED,3
Antonio Raíllo,DEF,3
Augusto Batalla,POR,3
Loïc Badé,DEF,3
Javi Muñoz,MED,3
Íñigo Lekue,DEF,3
José Ángel Carmona,DEF,3
Nico Williams,MED,3
Mikel Vesga,MED,3
Unai Gómez,MED,3
Nemanja Gudelj,DEF,3
Santiago Mouriño,DEF,3
Sergio Camello,DEL,3
Unai López,MED,3
Seydouba Cisse,MED,3
James Rodríguez,MED,3
Álvaro García,MED,3
Iván Balliu,DEF,3
Johan Mojica,DEF,3
Sergi Darder,MED,3
Florian Lejeune,DEF,3
Omar El Hilali,DEF,3
Dani Gómez,DEL,3
Carlos Romero,DEF,3
Marc Roca,MED,3
Abde Ezzalzouli,DEL,3
Johnny Cardoso,MED,3
Sergi Gómez,DEF,3
José Gragera,MED,3
Dimitri Foulquier,DEF,3
Javi Galán,DEF,3
Yéremi Pino,MED,3
Logan Costa,DEF,3
Yarek Gasiorowski,DEF,3
Iván Sánchez,MED,3
Eric García,DEF,3
Álvaro Tejero,DEF,3
Julen Agirrezabala,POR,2
Suso Fernández,MED,2
Adrià Pedrosa,DEF,2
Gorka Guruzeta,DEL,2
Yvan Neyou,MED,2
Darko Brasanac,MED,2
Óscar Valentín,MED,2
Antonio Lato,DEF,2
Carlos Dominguez,DEF,2
Arnaut Danjuma,DEL,2
Matija Nastasic,DEF,2
Bojan Miovski,DEL,2
Lucas Torró,MED,2
Abde Rebbach,MED,2
Oihan Sancet,MED,2
Unai Núñez,DEF,2
Adrián Embarba,MED,2
Leo Román,POR,2
Omar Mascarell,MED,2
Óscar Rodríguez,MED,2
Rodrygo Goes,DEL,2
Rodrigo Riquelme,MED,2
Marcos Llorente,MED,2
Nahuel Molina,DEF,2
Andriy Lunin,POR,2
Kylian Mbappé,DEL,2
Lucas Vázquez,DEF,2
Aurélien Tchouaméni,MED,2
Samuel Lino,MED,2
Raul Moro,MED,2
Pablo Torre,MED,2
Enzo Barrenechea,MED,2
Pol Lozano,MED,2
Alejo Véliz,DEL,2
Mario Martín,MED,2
Jon Aramburu,DEF,2
Selim Amallah,MED,2
Assane Diao,DEL,2
Cédric Bakambu,DEL,2
Diego Javier Llorente,DEF,2
Aitor Ruibal,MED,2
Vitor Roque,DEL,2
Natan,DEF,2
Fábio Silva,DEL,2
Viti Rozada,DEF,2
Benito Ramírez,MED,2
Aleksandar Sedlar,DEF,2
Nahuel Tenaglia,DEF,2
Antonio Blanco,MED,1
Abdel Abqar,DEF,1
Tomás Conechny,MED,1
Manuel Fuster,MED,1
Jaime Mata,DEL,1
Eray Cömert,DEF,1
Lucas Rosa,DEF,1
Darwin Machís,DEL,1
Chimy Ávila,DEL,1
Pere Milla,MED,1
Walid Cheddira,DEL,1
Héctor Bellerín,DEF,1
Pablo Fornals,MED,1
Carlos Vicente,MED,1
Daley Blind,DEF,1
Mikel Jauregizar,MED,1
Alex Padilla,POR,1
Íñigo Ruiz de Galarreta,MED,1
Tanguy Nianzou,DEF,1
José Campaña,MED,1
Saúl Ñíguez,MED,1
Óscar De Marcos,DEF,1
Arnau Martínez,DEF,1
Álvaro Odriozola,DEF,1
Arda Güler,MED,1
Juan Bernat,DEF,1
Thibaut Courtois,POR,1
Frenkie de Jong,MED,1
Stanko Juric,MED,1
Luis Pérez,DEF,1
Reinildo Mandava,DEF,1
Robert Navarro,MED,1
Hugo Álvarez ,MED,1
Eduardo Camavinga,MED,1
Alberto Risco,MED,1
Nabil Aberdin,DEF,1
Peque,DEL,1
Alejandro Catena,DEF,1
Javier Manquillo,DEF,1
Oriol Romeu,MED,1
Juan Iglesias,DEF,1
Renato Tapia,MED,1
Anastasios Douvikas,DEL,1
Pablo Durán,DEL,1
Jorge Sáenz,DEF,1
Stoichkov,DEL,0
Álex Muñoz,DEF,0
Marc Cardona,DEL,0
Kirian Rodríguez,MED,0
Alex Suárez,DEF,0
Sandro Ramírez,DEL,0
Joan Jordan,MED,0
Jon Guridi,MED,0
Manu Sánchez,DEF,0
Alejandro Francés,DEF,0
Moi Gómez,MED,0
Diego García,DEL,0
Cristian Portu,MED,0
Orri Steinn Óskarsson,DEL,0
Germán Valera,MED,0
Ansu Fati,DEL,0
Jon Moncayola,MED,0
Dominik Greif,POR,0
Pathé Ciss,MED,0
Clément Lenglet,DEF,0
Endrick,DEL,0
Fran García,DEF,0
Aihen Muñoz,DEF,0
Amath Ndiaye,DEL,0
Brahim Díaz,MED,0
Cenk Özkacar,DEF,0
Abdulai Juma Bah,DEF,0
Aritz Elustondo,DEF,0
Brais Méndez,MED,0
Sheraldo Becker,DEL,0
Juan Miguel Latasa,DEL,0
Leandro Cabrera,DEF,0
Álvaro Aguado,MED,0
Miguel de la Fuente,DEL,0
Kike Salas,DEF,0
Marcão,DEF,0
Yuri Berchiche,DEF,0
Alvaro Rodríguez,DEL,0
Albert Sambi Lokonga,MED,0
Ander Herrera,MED,0
Rubén Peña,DEF,0
Toni Martinez,DEL,0
Beñat Prados,MED,0
Bryan Gil,MED,0
Franco Cervi,MED,0
Fran Beltrán,MED,0
Carl Starfelt,DEF,0
Enric Franquesa,DEF,0
Sergi Guardiola,DEL,0
Christian Stuani,DEL,0
Luka Romero,MED,-1
Hugo Guillamón,MED,-1
Brian Oliván,DEF,-1
Romain Perraud,DEF,-1
Fabio González,MED,-1
Ricardo Rodriguez,DEF,-1
Iker Losada,MED,-1
Anuar Mohamed,MED,-1
Mario Maroto,MED,-1
Javi Puado,DEL,-1
Antonio Sánchez,MED,-1
Giuliano Simeone,DEL,-1
Ayoze Pérez,DEL,-1
Axel Witsel,DEF,-1
Denis Suárez,MED,-1
Gonzalo Montiel,DEF,-1
Valentín Barco,DEF,-1
Aitor Paredes,DEF,-1
Andoni Gorosabel,DEF,-1
Isaac Romero,DEL,-1
Óscar Mingueza,DEF,-1
Jesús Vallejo,DEF,-1
Randy Nteka,DEL,-1
Sergi Domínguez,DEF,-1
Víctor Meseguer,MED,-1
Beñat Turrientes,MED,-1
Damián Rodríguez,MED,-1
Alfonso González,MED,-1
Hugo Sotelo,MED,-1
Gabriel Misehouy,MED,-1
Donny van de Beek,MED,-1
Adrián Pica,DEF,-1
Antoniu Roca,MED,-2
Raúl Albiol,DEF,-2
Fernando Calero,DEF,-2
Naci Ünüvar,MED,-2
Marcos André,DEL,-2
Umar Sadiq,DEL,-2
Jailson,DEF,-2
Munir El Haddadi,DEL,-2
Juanpe Ramírez,DEF,-2
Jhon Solís,MED,-2
Juan Soriano,POR,-2
Carles Aleñá,MED,-2
Nacho Vidal,DEF,-2
Juanlu Sánchez,DEF,-2
Kelechi Iheanacho,DEL,-2
Hugo Novoa,DEF,NOT PLAYING
Jesús Owono,POR,NOT PLAYING
Yeray Álvarez,DEF,NOT PLAYING
Adama Boiro,DEF,NOT PLAYING
Javier Martón,DEL,NOT PLAYING
Unai Simón,POR,NOT PLAYING
Nico Serrano,MED,NOT PLAYING
Jorge Herrando,DEF,NOT PLAYING
José Arnáiz,DEL,NOT PLAYING
Iker Benito,MED,NOT PLAYING
Unai García,DEF,NOT PLAYING
Kike Barja,MED,NOT PLAYING
Aitor Fernández,POR,NOT PLAYING
Diego Moreno,DEF,NOT PLAYING
Iker Muñoz,MED,NOT PLAYING
Juan Carlos Martín,POR,NOT PLAYING
Ricard Artero,MED,NOT PLAYING
Antal Yaakobishvili,DEF,NOT PLAYING
Jastin,MED,NOT PLAYING
Pau López,POR,NOT PLAYING
Iván Villar,POR,NOT PLAYING
Jonathan Bamba,MED,NOT PLAYING
Sergio Carreira,DEF,NOT PLAYING
Joseph Aidoo,DEF,NOT PLAYING
Luca de la Torre,MED,NOT PLAYING
Tadeo Allende,DEL,NOT PLAYING
Marc Vidal,POR,NOT PLAYING
Mihailo Ristic,DEF,NOT PLAYING
Vedat Muriqi,DEL,NOT PLAYING
Martin Valjent,DEF,NOT PLAYING
Takuma Asano,DEL,NOT PLAYING
Chiquinho,MED,NOT PLAYING
Javi Llabrés,MED,NOT PLAYING
Siebe Van Der Heyden,DEF,NOT PLAYING
Iván Cuéllar,POR,NOT PLAYING
Daniel Luna,MED,NOT PLAYING
Marc Doménech,MED,NOT PLAYING
Mateu Morey,DEF,NOT PLAYING
Pablo Barrios,MED,NOT PLAYING
César Azpilicueta,DEF,NOT PLAYING
Juan Musso,POR,NOT PLAYING
Thomas Lemar,MED,NOT PLAYING
Javi Serrano,MED,NOT PLAYING
Gerard Moreno,DEL,NOT PLAYING
Willy Kambwala,DEF,NOT PLAYING
Alfonso Pedraza,DEF,NOT PLAYING
Juan Foyth,DEF,NOT PLAYING
Luiz Junior,POR,NOT PLAYING
Iker Álvarez,POR,NOT PLAYING
Dani Olmo,DEL,NOT PLAYING
Marc-André ter Stegen,POR,NOT PLAYING
Fermín López,MED,NOT PLAYING
Ronald Araújo,DEF,NOT PLAYING
Pablo Gavi,MED,NOT PLAYING
Andreas Christensen,DEF,NOT PLAYING
Marc Bernal,MED,NOT PLAYING
Rafa Mir,DEL,NOT PLAYING
Fran Pérez,MED,NOT PLAYING
José Gayà,DEF,NOT PLAYING
Jaume Doménech,POR,NOT PLAYING
Mouctar Diakhaby,DEF,NOT PLAYING
Stole Dimitrievski,POR,NOT PLAYING
Maximiliano Caufriez,DEF,NOT PLAYING
Kike Pérez,MED,NOT PLAYING
Javi Sánchez,DEF,NOT PLAYING
Chuki,MED,NOT PLAYING
Kenedy,MED,NOT PLAYING
César de la Hoz,MED,NOT PLAYING
André Ferreira,POR,NOT PLAYING
Raúl Chasco,DEF,NOT PLAYING
Mamadou Sylla,DEL,NOT PLAYING
Álvaro Aceves,POR,NOT PLAYING
Edu Expósito,MED,NOT PLAYING
Fernando Pacheco,POR,NOT PLAYING
Salvi Sánchez,MED,NOT PLAYING
Omar Sadik,DEL,NOT PLAYING
Ángel Fortuño,POR,NOT PLAYING
Youssouf Sabaly,DEF,NOT PLAYING
Marc Bartra,DEF,NOT PLAYING
William Carvalho,MED,NOT PLAYING
Juanmi Jiménez,DEL,NOT PLAYING
Francisco Vieites,POR,NOT PLAYING
Isco Alarcón,MED,NOT PLAYING
Nobel Mendy,DEF,NOT PLAYING
Adrián San Miguel,POR,NOT PLAYING
Hamari Traoré,DEF,NOT PLAYING
